customer_code	commercial_portfolio	business_unit
133	less affluent	retail_bank
134	less affluent	retail_bank
135	less affluent	retail_bank
136	less affluent	retail_bank
137	less affluent	retail_bank
138	less affluent	retail_bank
139	less affluent	retail_bank
140	less affluent	retail_bank
141	less affluent	retail_bank
142	less affluent	retail_bank
143	less affluent	retail_bank
144	less affluent	retail_bank
145	less affluent	retail_bank
146	less affluent	retail_bank
147	less affluent	retail_bank
148	less affluent	retail_bank
149	less affluent	retail_bank
150	less affluent	retail_bank
151	less affluent	retail_bank
152	less affluent	retail_bank
153	less affluent	retail_bank
154	less affluent	retail_bank
155	less affluent	retail_bank
156	less affluent	retail_bank
157	less affluent	retail_bank
158	less affluent	retail_bank
159	less affluent	retail_bank
160	less affluent	retail_bank
161	less affluent	retail_bank
162	less affluent	retail_bank
163	less affluent	retail_bank
164	less affluent	retail_bank
165	less affluent	retail_bank
166	less affluent	retail_bank
167	less affluent	retail_bank
168	less affluent	retail_bank
169	less affluent	retail_bank
170	less affluent	retail_bank
171	less affluent	retail_bank
172	less affluent	retail_bank
173	less affluent	retail_bank
174	less affluent	retail_bank
175	less affluent	retail_bank
176	less affluent	retail_bank
177	less affluent	retail_bank
178	less affluent	retail_bank
179	less affluent	retail_bank
180	less affluent	retail_bank
181	less affluent	retail_bank
182	less affluent	retail_bank
183	less affluent	retail_bank
184	less affluent	retail_bank
185	less affluent	retail_bank
186	less affluent	retail_bank
187	less affluent	retail_bank
188	less affluent	retail_bank
189	less affluent	retail_bank
190	less affluent	retail_bank
191	less affluent	retail_bank
192	less affluent	retail_bank
193	less affluent	retail_bank
194	less affluent	retail_bank
195	less affluent	retail_bank
196	less affluent	retail_bank
197	less affluent	retail_bank
198	less affluent	retail_bank
199	less affluent	retail_bank
200	less affluent	retail_bank
201	less affluent	retail_bank
202	less affluent	retail_bank
203	less affluent	retail_bank
204	less affluent	retail_bank
205	less affluent	retail_bank
206	less affluent	retail_bank
207	less affluent	retail_bank
208	less affluent	retail_bank
209	less affluent	retail_bank
210	less affluent	retail_bank
211	less affluent	retail_bank
212	less affluent	retail_bank
213	less affluent	retail_bank
214	less affluent	retail_bank
215	less affluent	retail_bank
216	less affluent	retail_bank
217	less affluent	retail_bank
218	less affluent	retail_bank
219	less affluent	retail_bank
220	less affluent	retail_bank
221	less affluent	retail_bank
222	less affluent	retail_bank
223	less affluent	retail_bank
224	less affluent	retail_bank
225	less affluent	retail_bank
226	less affluent	retail_bank
227	less affluent	retail_bank
228	less affluent	retail_bank
229	less affluent	retail_bank
230	less affluent	retail_bank
231	less affluent	retail_bank
232	less affluent	retail_bank
233	less affluent	retail_bank
234	less affluent	retail_bank
235	less affluent	retail_bank
236	less affluent	retail_bank
237	less affluent	retail_bank
238	less affluent	retail_bank
239	less affluent	retail_bank
240	less affluent	retail_bank
241	less affluent	retail_bank
242	less affluent	retail_bank
243	less affluent	retail_bank
244	less affluent	retail_bank
245	less affluent	retail_bank
246	less affluent	retail_bank
247	less affluent	retail_bank
248	less affluent	retail_bank
249	less affluent	retail_bank
250	less affluent	retail_bank
251	less affluent	retail_bank
252	less affluent	retail_bank
253	less affluent	retail_bank
254	less affluent	retail_bank
255	less affluent	retail_bank
256	less affluent	retail_bank
257	less affluent	retail_bank
258	less affluent	retail_bank
259	less affluent	retail_bank
260	less affluent	retail_bank
261	less affluent	retail_bank
262	less affluent	retail_bank
263	less affluent	retail_bank
264	less affluent	retail_bank
265	less affluent	retail_bank
266	less affluent	retail_bank
267	less affluent	retail_bank
268	less affluent	retail_bank
269	less affluent	retail_bank
270	less affluent	retail_bank
271	less affluent	retail_bank
272	less affluent	retail_bank
273	less affluent	retail_bank
274	less affluent	retail_bank
275	less affluent	retail_bank
276	less affluent	retail_bank
277	less affluent	retail_bank
278	less affluent	retail_bank
279	less affluent	retail_bank
280	less affluent	retail_bank
281	less affluent	retail_bank
282	less affluent	retail_bank
283	less affluent	retail_bank
284	less affluent	retail_bank
285	less affluent	retail_bank
286	less affluent	retail_bank
287	less affluent	retail_bank
288	less affluent	retail_bank
289	less affluent	retail_bank
290	less affluent	retail_bank
291	less affluent	retail_bank
292	less affluent	retail_bank
293	less affluent	retail_bank
294	less affluent	retail_bank
295	less affluent	retail_bank
296	less affluent	retail_bank
297	less affluent	retail_bank
298	less affluent	retail_bank
299	less affluent	retail_bank
300	less affluent	retail_bank
301	less affluent	retail_bank
302	less affluent	retail_bank
303	less affluent	retail_bank
304	less affluent	retail_bank
305	less affluent	retail_bank
306	less affluent	retail_bank
307	less affluent	retail_bank
308	less affluent	retail_bank
309	less affluent	retail_bank
310	less affluent	retail_bank
311	less affluent	retail_bank
312	less affluent	retail_bank
313	less affluent	retail_bank
314	less affluent	retail_bank
315	less affluent	retail_bank
316	less affluent	retail_bank
317	less affluent	retail_bank
318	less affluent	retail_bank
319	less affluent	retail_bank
320	less affluent	retail_bank
321	less affluent	retail_bank
322	less affluent	retail_bank
323	less affluent	retail_bank
324	less affluent	retail_bank
325	less affluent	retail_bank
326	less affluent	retail_bank
327	less affluent	retail_bank
328	less affluent	retail_bank
329	less affluent	retail_bank
330	less affluent	retail_bank
331	less affluent	retail_bank
332	less affluent	retail_bank
333	less affluent	retail_bank
334	less affluent	retail_bank
335	less affluent	retail_bank
336	less affluent	retail_bank
337	less affluent	retail_bank
338	less affluent	retail_bank
339	less affluent	retail_bank
340	less affluent	retail_bank
341	less affluent	retail_bank
342	less affluent	retail_bank
343	less affluent	retail_bank
344	less affluent	retail_bank
345	less affluent	retail_bank
346	less affluent	retail_bank
347	less affluent	retail_bank
348	less affluent	retail_bank
349	less affluent	retail_bank
350	less affluent	retail_bank
351	less affluent	retail_bank
352	less affluent	retail_bank
353	less affluent	retail_bank
354	less affluent	retail_bank
355	less affluent	retail_bank
356	less affluent	retail_bank
357	less affluent	retail_bank
358	less affluent	retail_bank
359	less affluent	retail_bank
360	less affluent	retail_bank
361	less affluent	retail_bank
362	less affluent	retail_bank
363	less affluent	retail_bank
364	less affluent	retail_bank
365	less affluent	retail_bank
366	less affluent	retail_bank
367	less affluent	retail_bank
368	less affluent	retail_bank
369	less affluent	retail_bank
370	less affluent	retail_bank
371	less affluent	retail_bank
372	less affluent	retail_bank
373	less affluent	retail_bank
374	less affluent	retail_bank
375	less affluent	retail_bank
376	less affluent	retail_bank
377	less affluent	retail_bank
378	less affluent	retail_bank
379	less affluent	retail_bank
380	less affluent	retail_bank
381	less affluent	retail_bank
382	less affluent	retail_bank
383	less affluent	retail_bank
384	less affluent	retail_bank
385	less affluent	retail_bank
386	less affluent	retail_bank
387	less affluent	retail_bank
388	less affluent	retail_bank
389	less affluent	retail_bank
390	less affluent	retail_bank
391	less affluent	retail_bank
392	less affluent	retail_bank
393	less affluent	retail_bank
394	less affluent	retail_bank
395	less affluent	retail_bank
396	less affluent	retail_bank
397	less affluent	retail_bank
398	less affluent	retail_bank
399	less affluent	retail_bank
400	less affluent	retail_bank
401	less affluent	retail_bank
402	less affluent	retail_bank
403	less affluent	retail_bank
404	less affluent	retail_bank
405	less affluent	retail_bank
406	less affluent	retail_bank
407	less affluent	retail_bank
408	less affluent	retail_bank
409	less affluent	retail_bank
410	less affluent	retail_bank
411	less affluent	retail_bank
412	less affluent	retail_bank
413	less affluent	retail_bank
414	less affluent	retail_bank
415	less affluent	retail_bank
416	less affluent	retail_bank
417	less affluent	retail_bank
418	less affluent	retail_bank
419	less affluent	retail_bank
420	less affluent	retail_bank
421	less affluent	retail_bank
422	less affluent	retail_bank
423	less affluent	retail_bank
424	less affluent	retail_bank
425	less affluent	retail_bank
426	less affluent	retail_bank
427	less affluent	retail_bank
428	less affluent	retail_bank
429	less affluent	retail_bank
430	less affluent	retail_bank
431	less affluent	retail_bank
432	less affluent	retail_bank
433	less affluent	retail_bank
434	less affluent	retail_bank
435	less affluent	retail_bank
436	less affluent	retail_bank
437	less affluent	retail_bank
438	less affluent	retail_bank
439	less affluent	retail_bank
440	less affluent	retail_bank
441	less affluent	retail_bank
442	less affluent	retail_bank
443	less affluent	retail_bank
444	less affluent	retail_bank
445	less affluent	retail_bank
446	less affluent	retail_bank
447	less affluent	retail_bank
448	less affluent	retail_bank
449	less affluent	retail_bank
450	less affluent	retail_bank
451	less affluent	retail_bank
452	less affluent	retail_bank
453	less affluent	retail_bank
454	less affluent	retail_bank
455	less affluent	retail_bank
456	less affluent	retail_bank
457	less affluent	retail_bank
458	less affluent	retail_bank
459	less affluent	retail_bank
460	less affluent	retail_bank
461	less affluent	retail_bank
462	less affluent	retail_bank
463	less affluent	retail_bank
464	less affluent	retail_bank
465	less affluent	retail_bank
466	less affluent	retail_bank
467	less affluent	retail_bank
468	less affluent	retail_bank
469	less affluent	retail_bank
470	less affluent	retail_bank
471	less affluent	retail_bank
472	less affluent	retail_bank
473	less affluent	retail_bank
474	less affluent	retail_bank
475	less affluent	retail_bank
476	less affluent	retail_bank
477	less affluent	retail_bank
478	less affluent	retail_bank
479	less affluent	retail_bank
480	less affluent	retail_bank
481	less affluent	retail_bank
482	less affluent	retail_bank
483	less affluent	retail_bank
484	less affluent	retail_bank
485	less affluent	retail_bank
486	less affluent	retail_bank
487	less affluent	retail_bank
488	less affluent	retail_bank
489	less affluent	retail_bank
490	less affluent	retail_bank
491	less affluent	retail_bank
492	less affluent	retail_bank
493	less affluent	retail_bank
494	less affluent	retail_bank
495	less affluent	retail_bank
496	less affluent	retail_bank
497	less affluent	retail_bank
498	less affluent	retail_bank
499	less affluent	retail_bank
500	less affluent	retail_bank
501	less affluent	retail_bank
502	less affluent	retail_bank
503	less affluent	retail_bank
504	less affluent	retail_bank
505	less affluent	retail_bank
506	less affluent	retail_bank
507	less affluent	retail_bank
508	less affluent	retail_bank
509	less affluent	retail_bank
510	less affluent	retail_bank
511	less affluent	retail_bank
512	less affluent	retail_bank
513	less affluent	retail_bank
514	less affluent	retail_bank
515	less affluent	retail_bank
516	less affluent	retail_bank
517	less affluent	retail_bank
518	less affluent	retail_bank
519	less affluent	retail_bank
520	less affluent	retail_bank
521	less affluent	retail_bank
522	less affluent	retail_bank
523	less affluent	retail_bank
524	less affluent	retail_bank
525	less affluent	retail_bank
526	less affluent	retail_bank
527	less affluent	retail_bank
528	less affluent	retail_bank
529	less affluent	retail_bank
530	less affluent	retail_bank
531	less affluent	retail_bank
532	less affluent	retail_bank
533	less affluent	retail_bank
534	less affluent	retail_bank
535	less affluent	retail_bank
536	less affluent	retail_bank
537	less affluent	retail_bank
538	less affluent	retail_bank
539	less affluent	retail_bank
540	less affluent	retail_bank
541	less affluent	retail_bank
542	less affluent	retail_bank
543	less affluent	retail_bank
544	less affluent	retail_bank
545	less affluent	retail_bank
546	less affluent	retail_bank
547	less affluent	retail_bank
548	less affluent	retail_bank
549	less affluent	retail_bank
550	less affluent	retail_bank
551	less affluent	retail_bank
552	less affluent	retail_bank
553	less affluent	retail_bank
554	less affluent	retail_bank
555	less affluent	retail_bank
556	less affluent	retail_bank
557	less affluent	retail_bank
558	less affluent	retail_bank
559	less affluent	retail_bank
560	less affluent	retail_bank
561	less affluent	retail_bank
562	less affluent	retail_bank
563	less affluent	retail_bank
564	less affluent	retail_bank
565	less affluent	retail_bank
566	less affluent	retail_bank
567	less affluent	retail_bank
568	less affluent	retail_bank
569	less affluent	retail_bank
570	less affluent	retail_bank
571	less affluent	retail_bank
572	less affluent	retail_bank
573	less affluent	retail_bank
574	less affluent	retail_bank
575	less affluent	retail_bank
576	less affluent	retail_bank
577	less affluent	retail_bank
578	less affluent	retail_bank
579	less affluent	retail_bank
580	less affluent	retail_bank
581	less affluent	retail_bank
582	less affluent	retail_bank
583	less affluent	retail_bank
584	less affluent	retail_bank
585	less affluent	retail_bank
586	less affluent	retail_bank
587	less affluent	retail_bank
588	less affluent	retail_bank
589	less affluent	retail_bank
590	less affluent	retail_bank
591	less affluent	retail_bank
592	less affluent	retail_bank
593	less affluent	retail_bank
594	less affluent	retail_bank
595	less affluent	retail_bank
596	less affluent	retail_bank
597	less affluent	retail_bank
598	less affluent	corporate_bank
599	less affluent	retail_bank
600	less affluent	retail_bank
601	less affluent	retail_bank
602	less affluent	retail_bank
603	less affluent	retail_bank
604	less affluent	retail_bank
605	less affluent	retail_bank
606	less affluent	retail_bank
607	less affluent	retail_bank
608	less affluent	retail_bank
609	less affluent	retail_bank
610	less affluent	retail_bank
611	less affluent	retail_bank
612	less affluent	retail_bank
613	less affluent	retail_bank
614	less affluent	retail_bank
615	less affluent	retail_bank
616	less affluent	retail_bank
617	less affluent	retail_bank
618	less affluent	retail_bank
619	less affluent	retail_bank
620	less affluent	retail_bank
621	less affluent	retail_bank
622	less affluent	retail_bank
623	less affluent	retail_bank
624	less affluent	retail_bank
625	less affluent	retail_bank
626	less affluent	retail_bank
627	less affluent	retail_bank
628	less affluent	retail_bank
629	less affluent	retail_bank
630	less affluent	retail_bank
631	less affluent	retail_bank
632	less affluent	retail_bank
633	less affluent	retail_bank
634	less affluent	retail_bank
635	less affluent	retail_bank
636	less affluent	retail_bank
637	less affluent	retail_bank
638	less affluent	retail_bank
639	less affluent	retail_bank
640	less affluent	retail_bank
641	less affluent	retail_bank
642	less affluent	retail_bank
643	less affluent	retail_bank
644	less affluent	retail_bank
645	less affluent	retail_bank
646	less affluent	retail_bank
647	less affluent	retail_bank
648	less affluent	retail_bank
649	less affluent	retail_bank
650	less affluent	retail_bank
651	less affluent	retail_bank
652	less affluent	retail_bank
653	less affluent	retail_bank
654	less affluent	retail_bank
655	less affluent	retail_bank
656	less affluent	retail_bank
657	less affluent	retail_bank
658	less affluent	retail_bank
659	less affluent	retail_bank
660	less affluent	retail_bank
661	less affluent	retail_bank
662	less affluent	retail_bank
663	less affluent	retail_bank
664	less affluent	retail_bank
665	less affluent	retail_bank
666	less affluent	retail_bank
667	less affluent	retail_bank
668	less affluent	retail_bank
669	less affluent	retail_bank
670	less affluent	retail_bank
671	less affluent	retail_bank
672	less affluent	retail_bank
673	less affluent	retail_bank
674	less affluent	retail_bank
675	less affluent	retail_bank
676	less affluent	retail_bank
677	less affluent	retail_bank
678	less affluent	retail_bank
679	less affluent	retail_bank
680	less affluent	retail_bank
681	less affluent	retail_bank
682	less affluent	retail_bank
683	less affluent	retail_bank
684	less affluent	retail_bank
685	less affluent	retail_bank
686	less affluent	retail_bank
687	less affluent	retail_bank
688	less affluent	retail_bank
689	less affluent	retail_bank
690	less affluent	retail_bank
691	less affluent	retail_bank
692	less affluent	retail_bank
693	less affluent	retail_bank
694	less affluent	retail_bank
695	less affluent	retail_bank
696	less affluent	retail_bank
697	less affluent	retail_bank
698	less affluent	retail_bank
699	less affluent	retail_bank
700	less affluent	retail_bank
701	less affluent	retail_bank
702	less affluent	retail_bank
703	less affluent	retail_bank
704	less affluent	retail_bank
705	less affluent	retail_bank
706	less affluent	retail_bank
707	less affluent	retail_bank
708	less affluent	retail_bank
709	less affluent	retail_bank
710	less affluent	retail_bank
711	less affluent	retail_bank
712	less affluent	retail_bank
713	less affluent	retail_bank
714	less affluent	retail_bank
715	less affluent	retail_bank
716	less affluent	retail_bank
717	less affluent	retail_bank
718	less affluent	retail_bank
719	less affluent	retail_bank
720	less affluent	retail_bank
721	less affluent	retail_bank
722	less affluent	retail_bank
723	less affluent	retail_bank
724	less affluent	retail_bank
725	less affluent	retail_bank
726	less affluent	retail_bank
727	less affluent	retail_bank
728	less affluent	retail_bank
729	less affluent	retail_bank
730	less affluent	retail_bank
731	less affluent	retail_bank
732	less affluent	retail_bank
733	less affluent	retail_bank
734	less affluent	retail_bank
735	less affluent	retail_bank
736	less affluent	retail_bank
737	less affluent	retail_bank
738	less affluent	retail_bank
739	less affluent	retail_bank
740	less affluent	retail_bank
741	less affluent	retail_bank
742	less affluent	retail_bank
743	less affluent	retail_bank
744	less affluent	retail_bank
745	less affluent	retail_bank
746	less affluent	retail_bank
747	less affluent	retail_bank
748	less affluent	retail_bank
749	less affluent	retail_bank
750	less affluent	retail_bank
751	less affluent	retail_bank
752	less affluent	retail_bank
753	less affluent	retail_bank
754	less affluent	retail_bank
755	less affluent	retail_bank
756	less affluent	retail_bank
757	less affluent	retail_bank
758	less affluent	retail_bank
759	less affluent	retail_bank
760	less affluent	retail_bank
761	less affluent	retail_bank
762	less affluent	retail_bank
763	less affluent	retail_bank
764	less affluent	retail_bank
765	less affluent	retail_bank
766	less affluent	retail_bank
767	less affluent	retail_bank
768	less affluent	retail_bank
769	less affluent	retail_bank
770	less affluent	retail_bank
771	less affluent	retail_bank
772	less affluent	retail_bank
773	less affluent	retail_bank
774	less affluent	retail_bank
775	less affluent	retail_bank
776	less affluent	retail_bank
777	less affluent	retail_bank
778	less affluent	retail_bank
779	less affluent	retail_bank
780	less affluent	retail_bank
781	less affluent	retail_bank
782	less affluent	retail_bank
783	less affluent	retail_bank
784	less affluent	retail_bank
785	less affluent	retail_bank
786	less affluent	retail_bank
787	less affluent	retail_bank
788	less affluent	retail_bank
789	less affluent	retail_bank
790	less affluent	retail_bank
791	less affluent	retail_bank
792	less affluent	retail_bank
793	less affluent	retail_bank
794	less affluent	retail_bank
795	less affluent	retail_bank
796	less affluent	retail_bank
797	less affluent	retail_bank
798	less affluent	retail_bank
799	less affluent	retail_bank
800	less affluent	retail_bank
801	less affluent	retail_bank
802	less affluent	retail_bank
803	less affluent	retail_bank
804	less affluent	retail_bank
805	less affluent	retail_bank
806	less affluent	retail_bank
807	less affluent	retail_bank
808	less affluent	retail_bank
809	less affluent	retail_bank
810	less affluent	retail_bank
811	less affluent	retail_bank
812	less affluent	retail_bank
813	less affluent	retail_bank
814	less affluent	retail_bank
815	less affluent	retail_bank
816	less affluent	retail_bank
817	less affluent	retail_bank
818	less affluent	retail_bank
819	less affluent	retail_bank
820	less affluent	retail_bank
821	less affluent	retail_bank
822	less affluent	retail_bank
823	less affluent	retail_bank
824	less affluent	retail_bank
825	less affluent	retail_bank
826	less affluent	retail_bank
827	less affluent	retail_bank
828	less affluent	retail_bank
829	less affluent	retail_bank
830	less affluent	retail_bank
831	less affluent	retail_bank
832	less affluent	retail_bank
833	less affluent	retail_bank
834	less affluent	retail_bank
835	less affluent	retail_bank
836	less affluent	retail_bank
837	less affluent	retail_bank
838	less affluent	retail_bank
839	less affluent	retail_bank
840	less affluent	retail_bank
841	less affluent	retail_bank
842	less affluent	retail_bank
843	less affluent	retail_bank
844	less affluent	retail_bank
845	less affluent	retail_bank
846	less affluent	retail_bank
847	less affluent	retail_bank
848	less affluent	retail_bank
849	less affluent	retail_bank
850	less affluent	retail_bank
851	less affluent	retail_bank
852	less affluent	retail_bank
853	less affluent	retail_bank
854	less affluent	retail_bank
855	less affluent	retail_bank
856	less affluent	retail_bank
857	less affluent	retail_bank
858	less affluent	retail_bank
859	less affluent	retail_bank
860	less affluent	retail_bank
861	less affluent	retail_bank
862	less affluent	retail_bank
863	less affluent	retail_bank
864	less affluent	retail_bank
865	less affluent	retail_bank
866	less affluent	retail_bank
867	less affluent	retail_bank
868	less affluent	retail_bank
869	less affluent	retail_bank
870	less affluent	retail_bank
871	less affluent	retail_bank
872	less affluent	retail_bank
873	less affluent	retail_bank
874	less affluent	retail_bank
875	less affluent	retail_bank
876	less affluent	retail_bank
877	less affluent	retail_bank
878	less affluent	retail_bank
879	less affluent	retail_bank
880	less affluent	retail_bank
881	less affluent	retail_bank
882	less affluent	retail_bank
883	less affluent	retail_bank
884	less affluent	retail_bank
885	less affluent	retail_bank
886	less affluent	retail_bank
887	less affluent	retail_bank
888	less affluent	retail_bank
889	less affluent	retail_bank
890	less affluent	retail_bank
891	less affluent	retail_bank
892	less affluent	retail_bank
893	less affluent	retail_bank
894	less affluent	retail_bank
895	less affluent	retail_bank
896	less affluent	retail_bank
897	less affluent	retail_bank
898	less affluent	corporate_bank
899	less affluent	retail_bank
900	less affluent	retail_bank
901	less affluent	retail_bank
902	less affluent	retail_bank
903	less affluent	retail_bank
904	less affluent	retail_bank
905	less affluent	retail_bank
906	less affluent	retail_bank
907	less affluent	retail_bank
908	less affluent	retail_bank
909	less affluent	retail_bank
910	less affluent	retail_bank
911	less affluent	retail_bank
912	less affluent	retail_bank
913	less affluent	retail_bank
914	less affluent	retail_bank
915	less affluent	retail_bank
916	less affluent	retail_bank
917	less affluent	retail_bank
918	less affluent	retail_bank
919	less affluent	retail_bank
920	less affluent	retail_bank
921	less affluent	retail_bank
922	less affluent	retail_bank
923	less affluent	retail_bank
924	less affluent	retail_bank
925	less affluent	retail_bank
926	less affluent	retail_bank
927	less affluent	retail_bank
928	less affluent	retail_bank
929	less affluent	retail_bank
930	less affluent	retail_bank
931	less affluent	retail_bank
932	less affluent	retail_bank
933	less affluent	retail_bank
934	less affluent	retail_bank
935	less affluent	retail_bank
936	less affluent	retail_bank
937	less affluent	retail_bank
938	less affluent	retail_bank
939	less affluent	retail_bank
940	less affluent	retail_bank
941	less affluent	retail_bank
942	less affluent	retail_bank
943	less affluent	retail_bank
944	less affluent	retail_bank
945	less affluent	retail_bank
946	less affluent	retail_bank
947	less affluent	retail_bank
948	less affluent	retail_bank
949	less affluent	retail_bank
950	less affluent	retail_bank
951	less affluent	retail_bank
952	less affluent	retail_bank
953	less affluent	retail_bank
954	less affluent	retail_bank
955	less affluent	retail_bank
956	less affluent	retail_bank
957	less affluent	retail_bank
958	less affluent	retail_bank
959	less affluent	retail_bank
960	less affluent	retail_bank
961	less affluent	retail_bank
962	less affluent	retail_bank
963	less affluent	retail_bank
964	less affluent	retail_bank
965	less affluent	retail_bank
966	less affluent	retail_bank
967	less affluent	retail_bank
968	less affluent	retail_bank
969	less affluent	retail_bank
970	less affluent	retail_bank
971	less affluent	retail_bank
972	less affluent	retail_bank
973	less affluent	retail_bank
974	less affluent	retail_bank
975	less affluent	retail_bank
976	less affluent	retail_bank
977	less affluent	retail_bank
978	less affluent	retail_bank
979	less affluent	retail_bank
980	less affluent	retail_bank
981	less affluent	retail_bank
982	less affluent	retail_bank
983	less affluent	retail_bank
984	less affluent	retail_bank
985	less affluent	retail_bank
986	less affluent	retail_bank
987	less affluent	retail_bank
988	less affluent	retail_bank
989	less affluent	retail_bank
990	less affluent	retail_bank
991	less affluent	retail_bank
992	less affluent	retail_bank
993	less affluent	retail_bank
994	less affluent	retail_bank
995	less affluent	retail_bank
996	less affluent	retail_bank
997	less affluent	retail_bank
998	less affluent	retail_bank
999	less affluent	retail_bank
1000	less affluent	retail_bank
1001	less affluent	retail_bank
1002	less affluent	retail_bank
1003	less affluent	retail_bank
1004	less affluent	retail_bank
1005	less affluent	retail_bank
1006	less affluent	retail_bank
1007	less affluent	retail_bank
1008	less affluent	retail_bank
1009	less affluent	retail_bank
1010	less affluent	retail_bank
1011	less affluent	retail_bank
1012	less affluent	retail_bank
1013	less affluent	retail_bank
1014	less affluent	retail_bank
1015	less affluent	retail_bank
1016	less affluent	retail_bank
1017	less affluent	retail_bank
1018	less affluent	retail_bank
1019	less affluent	retail_bank
1020	less affluent	retail_bank
1021	less affluent	retail_bank
1022	less affluent	retail_bank
1023	less affluent	retail_bank
1024	less affluent	retail_bank
1025	less affluent	retail_bank
1026	less affluent	retail_bank
1027	less affluent	retail_bank
1028	less affluent	retail_bank
1029	less affluent	retail_bank
1030	less affluent	retail_bank
1031	less affluent	retail_bank
1032	less affluent	retail_bank
1033	less affluent	retail_bank
1034	less affluent	retail_bank
1035	less affluent	retail_bank
1036	less affluent	retail_bank
1037	less affluent	retail_bank
1038	less affluent	retail_bank
1039	less affluent	retail_bank
1040	less affluent	retail_bank
1041	less affluent	retail_bank
1042	less affluent	retail_bank
1043	less affluent	retail_bank
1044	less affluent	retail_bank
1045	less affluent	retail_bank
1046	less affluent	retail_bank
1047	less affluent	retail_bank
1048	less affluent	retail_bank
1049	less affluent	retail_bank
1050	less affluent	retail_bank
1051	less affluent	retail_bank
1052	less affluent	retail_bank
1053	less affluent	retail_bank
1054	less affluent	retail_bank
1055	less affluent	retail_bank
1056	less affluent	retail_bank
1057	less affluent	retail_bank
1058	less affluent	retail_bank
1059	less affluent	retail_bank
1060	less affluent	retail_bank
1061	less affluent	retail_bank
1062	less affluent	retail_bank
1063	less affluent	retail_bank
1064	less affluent	retail_bank
1065	less affluent	retail_bank
1066	less affluent	retail_bank
1067	less affluent	retail_bank
1068	less affluent	retail_bank
